Id_actividad,Descripcion_actividad,Id_proceso
981,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,632
982,Cambio de alternador,732
983,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,153
984,Cambio de la cuchara del Scoop,656
985,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,425
986,TRASLADO DE TABLERO CELDA O MINI BRECK,616
987,Cambio de labio de cuchara del Scoop,678
988,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,776
989,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),661
990,materiales y equipos,436
991,materiales y equipos,538
992,materiales y equipos,998
993,Cambio de rodamiento,693
994,Cambio de labio de cuchara del Scoop,712
995,materiales y equipos,450
996,Cambio de arrancador,736
997,materiales y equipos,529
998,Cambio de rodamiento,39
999,Cambio de la cuchara del Scoop,191
1000,Cambio de rodamiento,499
